graph_num,C,p_1,beta_0,gamma_0
97,13.0,0.6947850947699824,0.39269908,0.88402007
98,13.0,0.6947850947699824,-1.17809725,0.88402006
99,15.0,0.7572850947699825,1.17809724,-0.8840200671795861
100,7.0,0.6175867509066509,2.74889358,-0.88402005
101,9.0,0.6731423064622066,-1.96349541,-0.88402007
102,8.0,0.6731423064622066,-0.39269909,-0.88402007
103,9.0,0.7286978620177621,1.9634954,0.88402008
104,10.0,0.625,1.9634954,1.57079631
105,7.0,0.6875,-1.17809725,1.57079634
106,8.0,0.6558082353972968,1.91519805,0.66865718
107,8.0,0.7113637909528523,-0.34440172,-0.66865716
108,9.0,0.6558082353972968,-2.79719093,0.66865718
109,9.0,0.7113637909528524,-0.34440172,-0.66865717
110,9.0,0.6402274118575672,1.91519805,0.66865718
111,9.0,0.6902274118575671,-1.2263946,0.66865717
112,10.0,0.625,0.39269908,1.57079634
113,11.0,0.6875,-0.39269909,-1.57079634
114,11.0,0.6906328803815618,-2.7488935771795866,0.87232031
115,12.0,0.7461884359371173,-1.9634954,-0.87232031
116,11.0,0.625,-1.96349542,-1.57079633
117,11.0,0.6875,-1.17809725,1.57079635
118,9.0,0.5555555555555556,0.39269908,1.57079634
119,9.0,0.6111111111111112,-1.17809725,1.57079634
120,11.0,0.6906328803815618,-0.39269907,-0.8723203
121,10.0,0.7461884359371171,0.39269909,0.8723203
122,9.0,0.6215695923434056,-1.96349541,-0.87232031
123,9.0,0.6715695923434055,2.74889358,-0.87232029
124,10.0,0.6715695923434055,-2.74889357,0.87232032
125,11.0,0.7215695923434056,1.96349541,0.87232031
126,10.0,0.6,0.39269907,1.57079632
127,11.0,0.65,1.17809725,-1.57079638
128,10.0,0.6427933492081113,0.35451032000000005,0.681519
129,11.0,0.6882478946626567,-2.787082327179587,0.68151902
130,10.0,0.6,-0.39269909,-1.5707963071795865
131,12.0,0.65,-0.39269908,-1.57079634
132,13.0,0.6,1.9634954,1.57079635
133,8.0,0.65,0.39269907,1.5707963371795863
134,8.0,0.5454545454545454,2.7488935671795867,-1.57079634
135,10.0,0.5909090909090909,-1.9634954,-1.57079634
136,9.0,0.6699774863391265,2.74889357,-0.94680414
137,10.0,0.715432031793672,1.9634954,0.94680413
138,10.0,0.5833333333333334,-1.96349541,-1.57079631
139,11.0,0.625,-1.96349541,-1.5707963
140,8.0,0.5,1.23959379,2.18992618
